model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj,refusal_detected,format_violation,choice_margin,answer_entropy
Qwen2.5-7B-Instruct,0,mmlu,,1,1,-0.39025435596704483,0.17911432683467865,0.1737989529647166,11.25,0.04005764424800873,0.209641695022583,0,-0.39025435596704483,0,0,11.25,0.1737989529647166
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.16698844730854034,0.3994956910610199,0.02812184036815779,15.0,0.10168667323887348,0.2485649287700653,0,-0.16698844730854034,0,0,15.0,0.02812184036815779
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.40642741322517395,0.2681043744087219,0.39153797924518585,3.75,0.2375338450074196,0.40210041403770447,0,-0.40642741322517395,0,0,3.75,0.39153797924518585
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.5443129539489746,-0.39260679483413696,0.293537107296288,2.375,0.23972905427217484,0.30634090304374695,0,-0.5443129539489746,0,0,2.375,0.293537107296288
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.3354862704873085,0.24898670613765717,0.1439399253576994,5.0,0.2922399751842022,0.5065138339996338,0,-0.3354862704873085,0,0,5.0,0.1439399253576994
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.3976319842040539,-0.06624241918325424,0.5914987474679947,2.5,0.3132406175136566,0.348930686712265,0,-0.3976319842040539,0,0,2.5,0.5914987474679947
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.14002424851059914,0.17136961221694946,0.44085694072146,13.375,0.1819000132381916,0.24445149302482605,0,0.14002424851059914,0,0,13.375,0.44085694072146
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.256312794983387,0.26458117365837097,0.3137109065428376,7.0,0.19886071607470512,0.31162333488464355,0,0.256312794983387,0,0,7.0,0.3137109065428376
Qwen2.5-7B-Instruct,0,medqa,,0,1,0.008679814636707306,0.14989149570465088,0.38480521441670135,9.5,0.2036195807158947,0.2921358644962311,0,0.008679814636707306,0,0,9.5,0.38480521441670135
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.35594209283590317,0.6984294652938843,0.020865656435489655,6.0,0.20815574005246162,0.30970168113708496,0,0.35594209283590317,0,0,6.0,0.020865656435489655
Qwen2.5-7B-Instruct,0,medqa,,1,1,-0.11272202059626579,-0.08612506836652756,0.37220430007437244,9.125,0.2817916087806225,0.4958474040031433,0,-0.11272202059626579,0,0,9.125,0.37220430007437244
Qwen2.5-7B-Instruct,0,medqa,,1,1,-0.3995582237839699,0.07110653817653656,0.04255562512844335,10.25,0.0904232757166028,0.19938631355762482,0,-0.3995582237839699,0,0,10.25,0.04255562512844335
Qwen2.5-7B-Instruct,0,medqa,,0,1,-0.12159022688865662,0.041650354862213135,0.6942969560623169,0.25,0.2825421020388603,0.5021843910217285,0,-0.12159022688865662,0,0,0.25,0.6942969560623169
Qwen2.5-7B-Instruct,0,medqa,,1,1,0.029924319125711918,0.06128164380788803,0.3288924088847125,11.5,0.17778411507606506,0.2526423931121826,0,0.029924319125711918,0,0,11.5,0.3288924088847125
Qwen2.5-7B-Instruct,0,medqa,,0,1,-0.43060488998889923,0.286983460187912,0.7008641362190247,0.0,0.2255888134241104,0.35585641860961914,0,-0.43060488998889923,0,0,0.0,0.7008641362190247
