model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj
Qwen3-8B,0,medqa,,1,1,-1.3829166293144226,-0.5864473581314087,0.23671582341194153,5.5,0.1380863171070814,0.30301859974861145,0,-1.3829166293144226
Qwen3-8B,0,medqa,,1,1,-1.2863266915082932,-0.09129723906517029,0.28273801505565643,4.875,0.15712383389472961,0.38941484689712524,0,-1.2863266915082932
Qwen3-8B,0,medqa,,1,1,-2.0860778093338013,-1.3196959495544434,0.5650408267974854,1.875,0.24069272726774216,0.35630157589912415,0,-2.0860778093338013
Qwen3-8B,0,medqa,,1,1,-1.758380651473999,-0.6231265068054199,0.4807880073785782,2.25,0.23305685818195343,0.32832738757133484,0,-1.758380651473999
Qwen3-8B,0,medqa,,1,1,-1.4210283607244492,-0.23043033480644226,0.6832021176815033,1.25,0.25092076137661934,0.4630787670612335,0,-1.4210283607244492
Qwen3-8B,0,medqa,,1,1,-0.8729313276708126,-0.07799773663282394,0.2538124965503812,7.0,0.18381155375391245,0.3608761131763458,0,-0.8729313276708126
Qwen3-8B,0,medqa,,1,1,-1.8659673035144806,-0.5618818402290344,0.38392195105552673,3.125,0.25444698706269264,0.4330986440181732,0,-1.8659673035144806
Qwen3-8B,0,medqa,,1,1,-1.6271100491285324,-0.2535270154476166,0.27558328583836555,4.75,0.22036334034055471,0.41192349791526794,0,-1.6271100491285324
Qwen3-8B,0,medqa,,1,1,-0.9365163519978523,0.14297662675380707,0.42464853916317225,7.125,0.22233624756336212,0.27526506781578064,0,-0.9365163519978523
Qwen3-8B,0,medqa,,0,1,-1.1586547745391726,0.022210905328392982,0.35447327606379986,5.375,0.2970864102244377,0.45423632860183716,0,-1.1586547745391726
Qwen3-8B,0,medqa,,1,1,-1.32206492125988,-0.2860132157802582,0.22433032328262925,7.625,0.330084964632988,0.4288199841976166,0,-1.32206492125988
Qwen3-8B,0,medqa,,0,1,-1.711372971534729,-0.7410564422607422,0.4612206518650055,2.0,0.20689309388399124,0.37339475750923157,0,-1.711372971534729
Qwen3-8B,0,medqa,,1,1,-1.3870708346366882,-0.5993262529373169,0.27305303886532784,6.0,0.21164239197969437,0.21746264398097992,0,-1.3870708346366882
Qwen3-8B,0,medqa,,0,1,-1.565815269947052,-0.5736137628555298,0.3727544597350061,7.0,0.22303534299135208,0.38268423080444336,0,-1.565815269947052
Qwen3-8B,0,medqa,,1,1,-0.87336465716362,0.0837889313697815,0.2237530522979796,8.125,0.25487762968987226,0.5183320045471191,0,-0.87336465716362
Qwen3-8B,0,medqa,,1,1,-1.6299844086170197,-0.7093711495399475,0.236627746373415,4.125,0.22148621268570423,0.39731666445732117,0,-1.6299844086170197
Qwen3-8B,0,medqa,,0,1,-1.562054604291916,-0.5686299204826355,0.5417384654283524,0.0,0.17632962204515934,0.37267884612083435,0,-1.562054604291916
Qwen3-8B,0,medqa,,1,1,-1.2705772370100021,-0.3186570107936859,0.23246829584240913,6.5,0.3325904756784439,0.4502120316028595,0,-1.2705772370100021
Qwen3-8B,0,medqa,,1,1,-1.6597028076648712,-0.7918525338172913,0.66555455327034,0.75,0.2385943839326501,0.4514487683773041,0,-1.6597028076648712
Qwen3-8B,0,medqa,,1,1,-1.3906877376139164,-0.10352141410112381,0.4115827605128288,3.25,0.2556707598268986,0.46285876631736755,0,-1.3906877376139164
Qwen3-8B,0,medqa,,1,1,-1.2981946617364883,0.10735580325126648,0.547453299164772,3.125,0.2796965967863798,0.5287762880325317,0,-1.2981946617364883
Qwen3-8B,0,medqa,,0,1,-1.410886526107788,-0.3626267910003662,0.372830705717206,8.5,0.2807793691754341,0.355497807264328,0,-1.410886526107788
Qwen3-8B,0,medqa,,1,1,-1.2082555145025253,-0.11227509379386902,0.16168124973773956,3.625,0.14965442940592766,0.2648569345474243,0,-1.2082555145025253
Qwen3-8B,0,medqa,,1,1,-1.7689973711967468,-0.8942559957504272,0.20081181172281504,6.375,0.2866864651441574,0.30889663100242615,0,-1.7689973711967468
Qwen3-8B,0,medqa,,1,1,-0.9715960547327995,0.16770781576633453,0.252647353336215,7.375,0.15689658420160413,0.31613683700561523,0,-0.9715960547327995
Qwen3-8B,0,medqa,,0,1,-1.4362484365701675,-0.2986648380756378,0.48675230145454407,1.875,0.21804167702794075,0.5381861925125122,0,-1.4362484365701675
Qwen3-8B,0,medqa,,1,1,-1.4389565140008926,-0.2939741909503937,0.9617737233638763,0.625,0.17182856425642967,0.2574218511581421,0,-1.4389565140008926
